species,protein,read_counts
Clostridium phoceensis,excinuclease ABC subunit A,1
Firmicutes bacterium AM31-12AC,UDP-N-acetylglucosamine 2-epimerase,2
Firmicutes bacterium CAG:94,DNA-directed RNA polymerase subunit beta,1
Firmicutes bacterium CAG:94,DNA excision repair protein subunit A,1
Firmicutes bacterium CAG:176,recombinase A,1
Frisingicoccus caecimuris,N-acetylneuraminate lyase,1
Alistipes timonensis,glutamate dehydrogenase,1
Ruminococcaceae bacterium AM07-15,excinuclease ABC subunit A,1
Barnesiella intestinihominis,F0F1 ATP synthase subunit alpha,1
Blautia hansenii,formate--tetrahydrofolate ligase,1
Dialister invisus,ATP-dependent protease ATP-binding subunit ClpX,1
uncultured Eggerthella sp.,endopeptidase Clp ATP-binding chain C,1
Anaerobutyricum soehngenii,molecular chaperone DnaK,1
Coprococcus eutactus,excinuclease ABC subunit A,1
Alistipes ihumii,thymidylate synthase,1
Lachnospiraceae bacterium AM48-27BH,resolvase family site-specific recombinase,1
[Bacteroides] pectinophilus,resolvase family site-specific recombinase,1
Faecalicatena contorta,pyruvate kinase,1
[Clostridium] lavalense,CTP synthetase,1
Victivallales bacterium CCUG 44730,"Hsp60, 60K heat shock protein HtpB",1
Alistipes finegoldii,excinuclease ABC subunit A,1
Lachnospiraceae bacterium OM04-12BH,DNA-directed RNA polymerase subunit beta,1
bacterium,GTP-binding protein LepA,1
[Clostridium] bolteae,capsular polysaccharide biosynthesis protein Cps4J,1
Bacteroides dorei CAG:222,formate--tetrahydrofolate ligase,1
Longibaculum muris,UDP-glucose 6-dehydrogenase,1
Holdemania filiformis,Listeria adhesion protein Lap,1
Ruminococcaceae bacterium D5,resolvase family site-specific recombinase,1
Merdibacter massiliensis,GMP synthase,1
Clostridia bacterium UC5.1-1D4,hypothetical protein SP_0939,1
Pseudoflavonifractor capillosus,endopeptidase Clp ATP-binding chain C,1
Gordonibacter pamelaeae,DNA-directed RNA polymerase subunit beta,1
